datetime,temp,humidity,windspeed,conditions,description
2023-04-24,17.3,75.7,22.1,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-04-25,18.1,68.8,14.7,Partially cloudy,Partly cloudy throughout the day.
2023-04-26,18.1,65.4,20.5,Partially cloudy,Partly cloudy throughout the day.
2023-04-27,19.7,55.7,29.7,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
2023-04-28,17.2,70.7,22.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-04-29,11.5,78.5,11.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
2023-04-30,10.3,79.8,13.1,Rain,Clear conditions throughout the day with morning rain.
2023-05-01,12.9,73.6,9.1,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-05-02,15.6,69.6,15.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-05-03,13.2,69.7,19.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-05-04,12.4,75.5,9.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
2023-05-05,13.6,62.1,24.2,Partially cloudy,Partly cloudy throughout the day.
2023-05-06,10.3,85.9,16.6,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
2023-05-07,8.9,79.7,18.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-05-08,11.2,80.4,13.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-05-09,12.9,81.5,15.3,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
2023-05-10,12.5,86.7,12.8,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
2023-05-11,12.2,78.2,21.8,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
2023-05-12,13.1,78,12.4,Partially cloudy,Partly cloudy throughout the day.
2023-05-13,11.7,93.7,10.7,Partially cloudy,Partly cloudy throughout the day.
2023-05-14,12.1,82.5,16.3,Rain,Clear conditions throughout the day with morning rain.
2023-05-15,15.3,63.8,18.8,Rain,Clear conditions throughout the day with afternoon rain.
2023-05-16,11.8,72.3,15.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
2023-05-17,9.3,76.8,13.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
2023-05-18,9,83.5,13,Partially cloudy,Partly cloudy throughout the day.
2023-05-19,10.9,86.7,11.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-05-20,11.5,72.6,12.9,"Rain, Overcast",Cloudy skies throughout the day with rain.
2023-05-21,12.3,74.7,17.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-05-22,12.2,68.1,11.4,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-05-23,12.7,65.8,17.8,Partially cloudy,Partly cloudy throughout the day.
2023-05-24,12.7,63.9,25.8,Partially cloudy,Partly cloudy throughout the day.
2023-05-25,12.8,64.7,28,"Rain, Overcast",Cloudy skies throughout the day with rain.
2023-05-26,10.8,72.7,13.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-05-27,12.2,64.2,16.8,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.
2023-05-28,12,85.1,16.8,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
2023-05-29,13.8,68.4,15.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
2023-05-30,15.1,72.8,20.4,Overcast,Cloudy skies throughout the day.
2023-05-31,16.1,71.7,23.7,Overcast,Cloudy skies throughout the day.
2023-06-01,13.2,66.1,21.9,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-06-02,10,67.8,11.2,Partially cloudy,Partly cloudy throughout the day.
2023-06-03,11.9,89.9,9.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-06-04,11.9,93,7.6,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-06-05,13.9,80.8,14.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-06-06,15.5,84.1,20.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-06-07,16.7,81.1,24.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-06-08,15.1,74.1,23.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
2023-06-09,12.4,60.2,20.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
2023-06-10,11.8,71.7,22.4,Partially cloudy,Partly cloudy throughout the day.
2023-06-11,13.3,68.1,16.4,Overcast,Cloudy skies throughout the day.
2023-06-12,12.4,65.2,20.2,Partially cloudy,Partly cloudy throughout the day.
2023-06-13,11.9,70.1,22.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-06-14,11.8,70.1,13.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-06-15,12.8,75.8,18.5,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.
2023-06-16,14,64.3,22.6,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
2023-06-17,12.9,59.6,28.4,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
2023-06-18,10.8,68.5,29.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
2023-06-19,9.1,73.5,23.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-06-20,7.6,77.9,9.3,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-06-21,7.4,77.9,18.5,Partially cloudy,Partly cloudy throughout the day.
2023-06-22,9.6,68.9,18.8,Overcast,Cloudy skies throughout the day.
2023-06-23,9.9,76.9,29.5,"Rain, Overcast",Cloudy skies throughout the day with rain.
2023-06-24,11,75.1,27.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-06-25,10.6,66.3,29.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-06-26,12.6,66.3,26.6,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-06-27,10.3,76.5,18.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-06-28,10.6,79.1,15.8,"Rain, Overcast",Cloudy skies throughout the day with rain.
2023-06-29,9.7,71.9,15.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
2023-06-30,12.1,76.2,15.6,Partially cloudy,Partly cloudy throughout the day.
2023-07-01,10.9,85.2,13.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
2023-07-02,10.9,89.6,9.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
2023-07-03,10.6,83,12.9,"Rain, Overcast",Cloudy skies throughout the day with morning rain.
2023-07-04,11,89,10.7,"Rain, Overcast",Cloudy skies throughout the day with rain.
2023-07-05,11.9,82.2,17.8,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
2023-07-06,11.6,72,26.1,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-07-07,12.2,68.9,20.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
2023-07-08,12.2,60.6,27.8,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-07-09,13.3,72.5,15.4,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
