datetime,temp,humidity,windspeed,conditions,description
2023-09-15,18.1,52.4,21.2,Partially cloudy,Partly cloudy throughout the day.
2023-09-16,18.3,50.8,24.7,Clear,Clear conditions throughout the day.
2023-09-17,17.8,57.9,13.3,Clear,Clear conditions throughout the day.
2023-09-18,15,79.3,11.3,Overcast,Cloudy skies throughout the day.
2023-09-19,20.8,51.1,22.4,"Rain, Overcast",Cloudy skies throughout the day with morning rain.
2023-09-20,14.8,54.4,20.2,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
2023-09-21,11.9,63.9,16.4,"Rain, Partially cloudy",Becoming cloudy in the afternoon with morning rain.
2023-09-22,11.3,66.1,14.8,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-09-23,11.3,72,13.2,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-09-24,15.6,64.9,20.3,Clear,Clear conditions throughout the day.
2023-09-25,16.3,63.8,20.9,Partially cloudy,Clearing in the afternoon.
2023-09-26,13.3,66.4,16.4,Partially cloudy,Partly cloudy throughout the day.
2023-09-27,13.1,71.5,18.7,Partially cloudy,Partly cloudy throughout the day.
2023-09-28,14.5,65.9,13.1,Partially cloudy,Clearing in the afternoon.
2023-09-29,17.6,48.8,13.8,Clear,Clear conditions throughout the day.
2023-09-30,22.6,30.1,24.4,Partially cloudy,Partly cloudy throughout the day.
2023-10-01,18.1,47.6,25.8,Partially cloudy,Partly cloudy throughout the day.
2023-10-02,17.2,57.9,23.2,Clear,Clear conditions throughout the day.
2023-10-03,18.3,74.4,27.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-10-04,11.5,88.1,18.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
2023-10-05,12.2,72.1,19.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-10-06,12,65.3,20.7,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
2023-10-07,11.3,66.5,19.9,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-10-08,11.1,74.1,16.6,Clear,Clear conditions throughout the day.
2023-10-09,12.5,66.5,15,Partially cloudy,Partly cloudy throughout the day.
2023-10-10,13.1,70.5,14.8,Partially cloudy,Partly cloudy throughout the day.
2023-10-11,16.7,65.2,23.9,Partially cloudy,Becoming cloudy in the afternoon.
2023-10-12,15.3,65.9,23.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-10-13,13.3,78.6,15.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-10-14,14.9,65.3,17.9,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-10-15,13.1,70.6,12.9,"Rain, Overcast",Cloudy skies throughout the day with rain.
2023-10-16,12.3,68.5,26.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-10-17,13.1,63.4,16.4,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-10-18,15.8,65.6,20.2,Rain,Clear conditions throughout the day with morning rain.
2023-10-19,19.3,56.4,16.1,Partially cloudy,Becoming cloudy in the afternoon.
2023-10-20,22,51,14.8,Partially cloudy,Becoming cloudy in the afternoon.
2023-10-21,19.6,51.3,20.1,Partially cloudy,Partly cloudy throughout the day.
2023-10-22,13.5,63.2,22.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
2023-10-23,13.6,66.7,12.2,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-10-24,17.8,49.9,31.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-10-25,10.3,61.6,21.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-10-26,11,71.3,20.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-10-27,14.4,58.9,12.9,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-10-28,16,57.5,27.9,Partially cloudy,Partly cloudy throughout the day.
2023-10-29,14.6,71.1,15,Partially cloudy,Clearing in the afternoon.
2023-10-30,16.1,62.7,25.9,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
2023-10-31,12.8,60.8,17.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-11-01,13.2,66,15.2,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-11-02,13.6,61.5,19,Partially cloudy,Partly cloudy throughout the day.
2023-11-03,13.5,66.6,15.2,Partially cloudy,Partly cloudy throughout the day.
2023-11-04,14.7,63.8,20.8,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-11-05,16.6,67,14.6,Clear,Clear conditions throughout the day.
2023-11-06,21.1,57.5,20.7,Partially cloudy,Partly cloudy throughout the day.
2023-11-07,23,55.4,24.3,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
2023-11-08,20.3,69.2,22.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-11-09,17.4,78.8,13.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
2023-11-10,23.7,55.4,16.9,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-11-11,19.5,54.5,19.4,Partially cloudy,Partly cloudy throughout the day.
2023-11-12,14.8,60.2,19,Partially cloudy,Partly cloudy throughout the day.
2023-11-13,14.8,65.9,15.4,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.
2023-11-14,14.2,70.1,13.2,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.
2023-11-15,15,64.2,16.7,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-11-16,14.4,68.8,20.9,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-11-17,14.6,58.3,15,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-11-18,15.8,65.1,15.2,Partially cloudy,Partly cloudy throughout the day.
2023-11-19,16.2,76.7,16.5,Partially cloudy,Partly cloudy throughout the day.
2023-11-20,16.3,73.9,16.5,Partially cloudy,Partly cloudy throughout the day.
2023-11-21,16.3,75.7,17.1,Partially cloudy,Partly cloudy throughout the day.
2023-11-22,16.2,71.1,20.8,Partially cloudy,Clearing in the afternoon.
2023-11-23,19.5,70.2,16.8,Partially cloudy,Partly cloudy throughout the day.
2023-11-24,20.9,76,18.1,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.
2023-11-25,21,73.8,22.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-11-26,16.8,88.7,15,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
2023-11-27,15.6,84.2,16.4,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
2023-11-28,17.6,81.6,13.3,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-11-29,17.7,82.3,23.4,"Rain, Overcast",Cloudy skies throughout the day with rain.
2023-11-30,16,78.6,18.7,"Rain, Overcast",Cloudy skies throughout the day with rain.
2023-12-01,17.8,81.5,16.9,"Rain, Overcast",Cloudy skies throughout the day with rain.
2023-12-02,16,92.9,16.9,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
2023-12-03,18.4,73.4,17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-12-04,22.4,58.4,20.2,Partially cloudy,Partly cloudy throughout the day.
2023-12-05,19.1,70.8,17.1,Partially cloudy,Partly cloudy throughout the day.
2023-12-06,18.1,64.5,16.6,Partially cloudy,Partly cloudy throughout the day.
2023-12-07,18.7,63.1,16.1,Overcast,Cloudy skies throughout the day.
2023-12-08,25.7,50.2,33.8,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.
2023-12-09,16.8,89.2,13.3,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
2023-12-10,17.1,83,13.2,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.
2023-12-11,18.5,97.8,13.1,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.
2023-12-12,24,79,16.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-12-13,26.3,68.1,25.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
2023-12-14,20.1,65.1,15.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
2023-12-15,18.2,60.4,16.8,Partially cloudy,Becoming cloudy in the afternoon.
2023-12-16,17.4,56.8,17,Partially cloudy,Partly cloudy throughout the day.
2023-12-17,18.4,59.3,14.4,Partially cloudy,Partly cloudy throughout the day.
2023-12-18,20.9,59.5,16.7,Overcast,Cloudy skies throughout the day.
2023-12-19,16.6,75.9,22.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-12-20,16.4,57.1,22.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
2023-12-21,19.5,59.3,20.9,Partially cloudy,Partly cloudy throughout the day.
2023-12-22,19,53.5,18.9,Partially cloudy,Partly cloudy throughout the day.
2023-12-23,18,61.6,20.3,Partially cloudy,Becoming cloudy in the afternoon.
2023-12-24,18.1,73.8,23.1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
2023-12-25,17.6,88.3,16.6,"Rain, Overcast",Cloudy skies throughout the day with rain.
2023-12-26,19.5,84.1,17.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-12-27,20.2,86.3,18.7,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-12-28,18.4,80.2,16.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
2023-12-29,17.2,62.2,15.2,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.
2023-12-30,15.9,64,17.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
2023-12-31,17,59,20.5,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.
